Ár;Mánuður;Heiti;Bankar, sparisjóðir og lánafyrirtæki;Verðbréfa- og fjárfestingarsjóðir;Lífeyrissjóðir;Fyrirtæki;Tryggingafélög;Einstaklingar;Aðrir;Erlendir aðilar
2024;júl;RIKB 27 0415;19454;6988;2935;1486;1610;195;;354
2024;júl;RIKB 28 1115;9692;23429;48123;4629;10193;1057;8289;8052
2024;júl;RIKB 31 0124;4684;18012;66464;3627;9385;1225;6722;16094
2024;júl;RIKB 35 0917;1717;12717;11680;632;4503;63;325;18665
2024;júl;RIKB 42 0217;743;6845;22665;807;6349;71;380;26342
2024;júl;RIKS 26 0216;34902;12288;14619;5504;12650;3447;210;164
2024;júl;RIKS 30 0701;1309;16235;52435;1378;5522;1417;626;1
2024;júl;RIKS 33 0321;2095;13897;54095;995;3774;2135;2688;85
2024;júl;RIKS 37 0115;809;8462;51108;477;2016;131;384;5
2024;júl;Víxlar alls;137609;47168;1105;10990;2810;;761;1649
2024;jún;RIKB 25 0612;37679;15698;26160;4568;6324;1598;5253;12482
2024;jún;RIKB 26 1015;28334;14060;5979;4910;8367;1893;621;8761
2024;jún;RIKB 27 0415;15699;4693;2720;886;1495;105;;354
2024;jún;RIKB 28 1115;9089;23632;48728;4882;9933;1059;8289;8052
2024;jún;RIKB 31 0124;5340;18051;66396;3631;8785;1219;6722;16039
2024;jún;RIKB 35 0917;2377;11047;10230;612;3853;44;325;18665
2024;jún;RIKB 42 0217;2442;6961;22665;728;6084;46;345;26342
2024;jún;RIKS 26 0216;34005;13330;14413;5411;12780;3269;210;173
2024;jún;RIKS 30 0701;1061;16837;52061;1378;5992;1417;686;1
2024;jún;RIKS 33 0321;2138;13577;53995;995;3774;2135;2695;85
2024;jún;RIKS 37 0115;1391;7776;46308;427;1931;131;324;5
2024;jún;Víxlar alls;125909;44808;1155;9450;2250;;761;1649
2024;maí;RIKB 25 0612;36956;16598;26190;4567;6734;1602;5301;11816
2024;maí;RIKB 26 1015;28386;13430;6079;5333;8652;1917;682;8445
2024;maí;RIKB 27 0415;15610;4243;2520;1035;1285;105;;354
2024;maí;RIKB 28 1115;8227;24802;48438;4547;10093;986;8319;8052
2024;maí;RIKB 31 0124;5701;16206;67196;3600;7660;1234;6817;17419
2024;maí;RIKB 35 0917;2441;11677;9210;707;3285;44;325;18814
2024;maí;RIKB 42 0217;1517;7214;23505;728;6006;46;323;26523
2024;maí;RIKS 26 0216;34219;13806;14266;5286;12670;3230;223;163
2024;maí;RIKS 30 0701;1409;17212;51501;1378;5928;1387;626;1
2024;maí;RIKS 33 0321;2291;13177;54195;995;3825;2178;2748;85
2024;maí;RIKS 37 0115;981;7551;46533;427;1981;131;324;5
2024;maí;Víxlar alls;117759;43177;755;8600;1945;;761;2249
2024;apr;RIKB 25 0612;36253;16703;26646;4647;6887;1587;5301;11740
2024;apr;RIKB 26 1015;28016;13477;6661;5588;8838;1871;682;7791
2024;apr;RIKB 27 0415;10563;1551;1700;336;585;40;;354
2024;apr;RIKB 28 1115;8019;24717;48738;4206;10486;1039;8274;8052
2024;apr;RIKB 31 0124;5218;15281;67496;3600;8000;1309;6877;17422
2024;apr;RIKB 35 0917;4696;9807;9025;707;3085;44;325;18814
2024;apr;RIKB 42 0217;615;7092;23505;728;6106;46;423;28377
2024;apr;RIKS 26 0216;32689;15927;13336;5263;12930;3250;223;165
2024;apr;RIKS 30 0701;1144;17491;51320;1443;5798;1375;626;5
2024;apr;RIKS 33 0321;2268;13817;53820;995;3710;2172;2748;94
2024;apr;RIKS 37 0115;1201;7451;43818;427;1696;131;224;5
2024;apr;Víxlar alls;108785;35801;755;7800;1845;;761;1949
2024;mar;RIKB 24 0415;56253;3996;2609;6458;2417;1370;930;3253
2024;mar;RIKB 25 0612;35200;17150;26926;3877;8455;1462;5366;11328
2024;mar;RIKB 26 1015;25187;15336;6351;4755;8588;1724;682;6506
2024;mar;RIKB 28 1115;7075;25413;48538;4259;11070;987;8270;7852
2024;mar;RIKB 31 0124;4508;15996;67796;3600;8044;1320;6877;17413
2024;mar;RIKB 35 0917;2062;9255;6415;282;2125;44;325;18814
2024;mar;RIKB 42 0217;728;7330;23305;678;6006;46;323;28377
2024;mar;RIKS 26 0216;32904;15951;13001;5325;13058;3077;223;123
2024;mar;RIKS 30 0701;1264;17329;51310;1443;5659;1366;626;5
2024;mar;RIKS 33 0321;2201;13671;53873;1024;3893;2221;2767;94
2024;mar;RIKS 37 0115;1916;7211;43488;442;1861;131;249;5
2024;mar;Víxlar alls;78200;27380;305;6350;1295;;;1271
2024;feb;RIKB 24 0415;55188;6141;3264;6622;2612;1476;930;3253
2024;feb;RIKB 25 0612;34669;16892;29244;3889;8949;1477;5476;9168
2024;feb;RIKB 26 1015;24593;15477;6890;5246;8113;1714;682;6415
2024;feb;RIKB 28 1115;5172;25503;48638;4113;11138;891;8270;9840
2024;feb;RIKB 31 0124;4757;16262;68722;3475;8061;1276;6807;16723
2024;feb;RIKB 35 0917;2452;9776;5480;297;2595;44;130;18814
2024;feb;RIKB 42 0217;1545;8716;23275;688;6056;46;323;23988
2024;feb;RIKS 26 0216;33717;15855;12754;5165;13447;3180;223;121
